Airline,start_year,end_year,start_pax,end_pax,cagr_pct
Air India Express,2015,2025,161389,18820084,60.94
Star Air,2019,2025,61685,840572,54.55
Vistara,2015,2023,1066723,13846669,37.77
India One Air,2023,2025,19541,33898,31.71
AirAsia India,2015,2023,1409653,10893476,29.12
Akasa Air,2023,2025,6229350,8494062,16.77
IndiGo,2015,2025,29743558,107032421,13.66
Air India,2015,2025,12522753,26173414,7.65
Alliance Air,2015,2025,364430,730143,7.2
Jet Airways,2015,2018,15492537,19029065,7.09
Go First,2015,2022,6929617,10901770,6.69
JetLite,2015,2018,2665951,2323026,-4.49
Air Costa,2015,2016,730768,686009,-6.12
SpiceJet,2015,2025,9425939,4674305,-6.77
TruJet,2016,2021,394478,275147,-6.95
Flybig,2021,2024,58518,15488,-35.8
